gbn,gid,geometry,zoneName,공동주택,공원,기타,녹지,단독주택,도로,상업,하천,거주인구,사업체당종사자수,ALL_AADT,유동인구,가중혼잡도,녹지면적,예측_탄소배출량(통합),예측_탄소배출량(수송),예측_탄소흡수량
경기도 광명시,다사423397,"POLYGON ((126.84760942418366 37.45469626548008, 126.84760159495494 37.45559758042464, 126.84873220120703 37.4556038165874, 126.84874001687002 37.4547025014409, 126.84760942418366 37.45469626548008))",광명시흥 공공주택지구,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.3,1.6,0.0,0.0,8.11,0.02
경기도 광명시,다사421397,"POLYGON ((126.84534823985754 37.45468376111361, 126.84534038349743 37.455585075653254, 126.84647098905155 37.45559133344658, 126.84647883184596 37.454690018704305, 126.84534823985754 37.45468376111361))",광명시흥 공공주택지구,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.3,1.6,0.0,0.0,8.11,0.02
경기도 광명시,다사425398,"POLYGON ((126.84986280780718 37.45561004193485, 126.84985500536243 37.456511357143725, 126.85098562587639 37.45651757187711, 126.8509934147548 37.455616256466996, 126.84986280780718 37.45561004193485))",광명시흥 공공주택지구,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.3,1.6,0.0,0.0,8.11,0.02
경기도 광명시,다사420397,"POLYGON ((126.84421764821896 37.45467749270798, 126.8442097782932 37.455578807044645, 126.84534038349743 37.455585075653254, 126.84534823985754 37.45468376111361, 126.84421764821896 37.45467749270798))",광명시흥 공공주택지구,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.3,1.6,0.0,0.0,8.11,0.02
경기도 광명시,다사422397,"POLYGON ((126.84647883184596 37.454690018704305, 126.84647098905155 37.45559133344658, 126.84760159495494 37.45559758042464, 126.84760942418366 37.45469626548008, 126.84647883184596 37.454690018704305))",광명시흥 공공주택지구,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.3,1.6,0.0,0.0,8.11,0.02
경기도 광명시,다사424398,"POLYGON ((126.84873220120703 37.4556038165874, 126.84872438519595 37.45650513159468, 126.84985500536243 37.456511357143725, 126.84986280780718 37.45561004193485, 126.84873220120703 37.4556038165874))",광명시흥 공공주택지구,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.3,1.6,0.0,0.0,8.11,0.02
경기도 광명시,다사428406,"POLYGON ((126.85319252604496 37.462839175680436, 126.85318476153343 37.46374049037849, 126.85431549163918 37.46374667426648, 126.85432324257947 37.462845359368195, 126.85319252604496 37.462839175680436))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
경기도 광명시,다사429404,"POLYGON ((126.8543387434245 37.46104272915411, 126.85433099317459 37.46194404433074, 126.85546169648363 37.461950217000485, 126.85546943316352 37.461048901623975, 126.8543387434245 37.46104272915411))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
경기도 광명시,다사421400,"POLYGON ((126.84532466972757 37.45738770431489, 126.84531681231776 37.45828901843689, 126.84644745857253 37.45829527683815, 126.84645530241485 37.457393962513514, 126.84532466972757 37.45738770431489))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
경기도 광명시,다사421399,"POLYGON ((126.84533252678744 37.45648639005368, 126.84532466972757 37.45738770431489, 126.84645530241485 37.457393962513514, 126.84646314590785 37.45649264804965, 126.84533252678744 37.45648639005368))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
