year,adm_cd,adm_nm,bn_cd,bn_nm,cnt
2019,33041550,금천동,cp_bnu_017,보건업 및 사회복지 서비스업,105
2019,33041550,금천동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",91
2019,33041550,금천동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",235
2019,33041560,용담·명암·산성동,cp_bnu_003,제조업,10
2019,33041560,용담·명암·산성동,cp_bnu_006,건설업,17
2019,33041560,용담·명암·산성동,cp_bnu_007,도매 및 소매업,140
2019,33041560,용담·명암·산성동,cp_bnu_009,숙박 및 음식점업,177
2019,33041560,용담·명암·산성동,cp_bnu_012,부동산업,22
2019,33041560,용담·명암·산성동,cp_bnu_013,"전문, 과학 및 기술 서비스업",8
2019,33041560,용담·명암·산성동,cp_bnu_016,교육 서비스업,85
2019,33041560,용담·명암·산성동,cp_bnu_017,보건업 및 사회복지 서비스업,33
2019,33041560,용담·명암·산성동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",61
2019,33041560,용담·명암·산성동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",90
2019,33041570,용암1동,cp_bnu_003,제조업,73
2019,33041570,용암1동,cp_bnu_006,건설업,101
2019,33041570,용암1동,cp_bnu_007,도매 및 소매업,640
2019,33041570,용암1동,cp_bnu_009,숙박 및 음식점업,702
2019,33041570,용암1동,cp_bnu_010,정보통신업,21
2019,33041570,용암1동,cp_bnu_011,금융 및 보험업,17
2019,33041570,용암1동,cp_bnu_012,부동산업,108
2019,33041570,용암1동,cp_bnu_013,"전문, 과학 및 기술 서비스업",69
2019,33041570,용암1동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",45
2019,33041570,용암1동,cp_bnu_016,교육 서비스업,199
2019,33041570,용암1동,cp_bnu_017,보건업 및 사회복지 서비스업,117
2019,33041570,용암1동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",142
2019,33041570,용암1동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",350
2019,33041580,용암2동,cp_bnu_003,제조업,48
2019,33041580,용암2동,cp_bnu_005,"수도, 하수 및 폐기물처리, 원료 재생업",5
2019,33041580,용암2동,cp_bnu_006,건설업,32
2019,33041580,용암2동,cp_bnu_007,도매 및 소매업,245
2019,33041580,용암2동,cp_bnu_008,운수 및 창고업,9
2019,33041580,용암2동,cp_bnu_009,숙박 및 음식점업,215
2019,33041580,용암2동,cp_bnu_011,금융 및 보험업,5
2019,33041580,용암2동,cp_bnu_012,부동산업,51
2019,33041580,용암2동,cp_bnu_013,"전문, 과학 및 기술 서비스업",11
2019,33041580,용암2동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",18
2019,33041580,용암2동,cp_bnu_016,교육 서비스업,76
2019,33041580,용암2동,cp_bnu_017,보건업 및 사회복지 서비스업,70
2019,33041580,용암2동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",26
2019,33041580,용암2동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",127
2019,33042310,남이면,cp_bnu_003,제조업,396
2019,33042310,남이면,cp_bnu_005,"수도, 하수 및 폐기물처리, 원료 재생업",11
2019,33042310,남이면,cp_bnu_006,건설업,160
2019,33042310,남이면,cp_bnu_007,도매 및 소매업,554
2019,33042310,남이면,cp_bnu_008,운수 및 창고업,87
2019,33042310,남이면,cp_bnu_009,숙박 및 음식점업,123
2019,33042310,남이면,cp_bnu_011,금융 및 보험업,5
2019,33042310,남이면,cp_bnu_012,부동산업,38
2019,33042310,남이면,cp_bnu_013,"전문, 과학 및 기술 서비스업",18
2019,33042310,남이면,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",42
2019,33042310,남이면,cp_bnu_016,교육 서비스업,15
2019,33042310,남이면,cp_bnu_017,보건업 및 사회복지 서비스업,15
2019,33042310,남이면,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",23
2019,33042310,남이면,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",110
2019,33042320,현도면,cp_bnu_003,제조업,239
2019,33042320,현도면,cp_bnu_006,건설업,21
2019,33042320,현도면,cp_bnu_007,도매 및 소매업,178
2019,33042320,현도면,cp_bnu_008,운수 및 창고업,20
2019,33042320,현도면,cp_bnu_009,숙박 및 음식점업,72
2019,33042320,현도면,cp_bnu_012,부동산업,6
2019,33042320,현도면,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",11
2019,33042320,현도면,cp_bnu_016,교육 서비스업,8
2019,33042320,현도면,cp_bnu_017,보건업 및 사회복지 서비스업,10
2019,33042320,현도면,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",6
2019,33042320,현도면,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",37
2019,33042510,사직1동,cp_bnu_003,제조업,72
2019,33042510,사직1동,cp_bnu_006,건설업,64
2019,33042510,사직1동,cp_bnu_007,도매 및 소매업,234
2019,33042510,사직1동,cp_bnu_008,운수 및 창고업,19
2019,33042510,사직1동,cp_bnu_009,숙박 및 음식점업,135
2019,33042510,사직1동,cp_bnu_010,정보통신업,9
2019,33042510,사직1동,cp_bnu_011,금융 및 보험업,16
2019,33042510,사직1동,cp_bnu_012,부동산업,23
2019,33042510,사직1동,cp_bnu_013,"전문, 과학 및 기술 서비스업",34
2019,33042510,사직1동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",38
2019,33042510,사직1동,cp_bnu_016,교육 서비스업,17
2019,33042510,사직1동,cp_bnu_017,보건업 및 사회복지 서비스업,25
2019,33042510,사직1동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",31
2019,33042510,사직1동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",164
2019,33042520,사직2동,cp_bnu_003,제조업,29
2019,33042520,사직2동,cp_bnu_006,건설업,32
2019,33042520,사직2동,cp_bnu_007,도매 및 소매업,144
2019,33042520,사직2동,cp_bnu_009,숙박 및 음식점업,104
2019,33042520,사직2동,cp_bnu_011,금융 및 보험업,11
2019,33042520,사직2동,cp_bnu_012,부동산업,15
2019,33042520,사직2동,cp_bnu_013,"전문, 과학 및 기술 서비스업",10
2019,33042520,사직2동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",22
2019,33042520,사직2동,cp_bnu_016,교육 서비스업,41
2019,33042520,사직2동,cp_bnu_017,보건업 및 사회복지 서비스업,54
2019,33042520,사직2동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",12
2019,33042520,사직2동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",82
2019,33042530,사창동,cp_bnu_003,제조업,48
2019,33042530,사창동,cp_bnu_006,건설업,29
2019,33042530,사창동,cp_bnu_007,도매 및 소매업,421
2019,33042530,사창동,cp_bnu_008,운수 및 창고업,12
2019,33042530,사창동,cp_bnu_009,숙박 및 음식점업,520
2019,33042530,사창동,cp_bnu_010,정보통신업,14
2019,33042530,사창동,cp_bnu_011,금융 및 보험업,33
2019,33042530,사창동,cp_bnu_012,부동산업,65
2019,33042530,사창동,cp_bnu_013,"전문, 과학 및 기술 서비스업",38
2019,33042530,사창동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",47
2019,33042530,사창동,cp_bnu_016,교육 서비스업,106
2019,33042530,사창동,cp_bnu_017,보건업 및 사회복지 서비스업,67
2019,33042530,사창동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",92
2019,33042530,사창동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",242
2019,33042540,모충동,cp_bnu_003,제조업,49
2019,33042540,모충동,cp_bnu_006,건설업,48
2019,33042540,모충동,cp_bnu_007,도매 및 소매업,206
2019,33042540,모충동,cp_bnu_009,숙박 및 음식점업,258
2019,33042540,모충동,cp_bnu_010,정보통신업,9
2019,33042540,모충동,cp_bnu_011,금융 및 보험업,7
2019,33042540,모충동,cp_bnu_012,부동산업,41
2019,33042540,모충동,cp_bnu_013,"전문, 과학 및 기술 서비스업",25
2019,33042540,모충동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",31
2019,33042540,모충동,cp_bnu_016,교육 서비스업,37
2019,33042540,모충동,cp_bnu_017,보건업 및 사회복지 서비스업,27
2019,33042540,모충동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",42
2019,33042540,모충동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",150
2019,33042550,산남동,cp_bnu_003,제조업,50
