year,adm_cd,adm_nm,bn_cd,bn_nm,cnt
2019,25010750,산내동,cp_bnu_008,운수 및 창고업,37
2019,25010750,산내동,cp_bnu_009,숙박 및 음식점업,148
2019,25010750,산내동,cp_bnu_011,금융 및 보험업,5
2019,25010750,산내동,cp_bnu_012,부동산업,33
2019,25010750,산내동,cp_bnu_013,"전문, 과학 및 기술 서비스업",7
2019,25010750,산내동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",15
2019,25010750,산내동,cp_bnu_015,"공공행정, 국방 및 사회보장 행정",6
2019,25010750,산내동,cp_bnu_016,교육 서비스업,48
2019,25010750,산내동,cp_bnu_017,보건업 및 사회복지 서비스업,70
2019,25010750,산내동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",18
2019,25010750,산내동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",138
2019,25010760,중앙동,cp_bnu_003,제조업,618
2019,25010760,중앙동,cp_bnu_006,건설업,26
2019,25010760,중앙동,cp_bnu_007,도매 및 소매업,1371
2019,25010760,중앙동,cp_bnu_008,운수 및 창고업,28
2019,25010760,중앙동,cp_bnu_009,숙박 및 음식점업,489
2019,25010760,중앙동,cp_bnu_010,정보통신업,18
2019,25010760,중앙동,cp_bnu_011,금융 및 보험업,24
2019,25010760,중앙동,cp_bnu_012,부동산업,27
2019,25010760,중앙동,cp_bnu_013,"전문, 과학 및 기술 서비스업",38
2019,25010760,중앙동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",42
2019,25010760,중앙동,cp_bnu_015,"공공행정, 국방 및 사회보장 행정",6
2019,25010760,중앙동,cp_bnu_016,교육 서비스업,36
2019,25010760,중앙동,cp_bnu_017,보건업 및 사회복지 서비스업,80
2019,25010760,중앙동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",46
2019,25010760,중앙동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",176
2019,25010770,신인동,cp_bnu_003,제조업,67
2019,25010770,신인동,cp_bnu_006,건설업,16
2019,25010770,신인동,cp_bnu_007,도매 및 소매업,203
2019,25010770,신인동,cp_bnu_008,운수 및 창고업,5
2019,25010770,신인동,cp_bnu_009,숙박 및 음식점업,99
2019,25010770,신인동,cp_bnu_011,금융 및 보험업,6
2019,25010770,신인동,cp_bnu_012,부동산업,32
2019,25010770,신인동,cp_bnu_013,"전문, 과학 및 기술 서비스업",5
2019,25010770,신인동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",9
2019,25010770,신인동,cp_bnu_016,교육 서비스업,9
2019,25010770,신인동,cp_bnu_017,보건업 및 사회복지 서비스업,33
2019,25010770,신인동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",19
2019,25010770,신인동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",76
2019,25010780,대동,cp_bnu_003,제조업,46
2019,25010780,대동,cp_bnu_006,건설업,26
2019,25010780,대동,cp_bnu_007,도매 및 소매업,183
2019,25010780,대동,cp_bnu_008,운수 및 창고업,5
2019,25010780,대동,cp_bnu_009,숙박 및 음식점업,159
2019,25010780,대동,cp_bnu_010,정보통신업,6
2019,25010780,대동,cp_bnu_011,금융 및 보험업,7
2019,25010780,대동,cp_bnu_012,부동산업,37
2019,25010780,대동,cp_bnu_013,"전문, 과학 및 기술 서비스업",13
2019,25010780,대동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",23
2019,25010780,대동,cp_bnu_016,교육 서비스업,45
2019,25010780,대동,cp_bnu_017,보건업 및 사회복지 서비스업,61
2019,25010780,대동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",27
2019,25010780,대동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",129
2019,25010790,성남동,cp_bnu_003,제조업,43
2019,25010790,성남동,cp_bnu_006,건설업,39
2019,25010790,성남동,cp_bnu_007,도매 및 소매업,233
2019,25010790,성남동,cp_bnu_008,운수 및 창고업,11
2019,25010790,성남동,cp_bnu_009,숙박 및 음식점업,152
2019,25010790,성남동,cp_bnu_011,금융 및 보험업,7
2019,25010790,성남동,cp_bnu_012,부동산업,32
2019,25010790,성남동,cp_bnu_013,"전문, 과학 및 기술 서비스업",8
2019,25010790,성남동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",16
2019,25010790,성남동,cp_bnu_016,교육 서비스업,38
2019,25010790,성남동,cp_bnu_017,보건업 및 사회복지 서비스업,55
2019,25010790,성남동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",32
2019,25010790,성남동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",130
2019,25010800,삼성동,cp_bnu_003,제조업,396
2019,25010800,삼성동,cp_bnu_006,건설업,80
2019,25010800,삼성동,cp_bnu_007,도매 및 소매업,372
2019,25010800,삼성동,cp_bnu_008,운수 및 창고업,20
2019,25010800,삼성동,cp_bnu_009,숙박 및 음식점업,128
2019,25010800,삼성동,cp_bnu_010,정보통신업,20
2019,25010800,삼성동,cp_bnu_011,금융 및 보험업,6
2019,25010800,삼성동,cp_bnu_012,부동산업,28
2019,25010800,삼성동,cp_bnu_013,"전문, 과학 및 기술 서비스업",55
2019,25010800,삼성동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",27
2019,25010800,삼성동,cp_bnu_016,교육 서비스업,35
2019,25010800,삼성동,cp_bnu_017,보건업 및 사회복지 서비스업,50
2019,25010800,삼성동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",24
2019,25010800,삼성동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",115
2019,25020510,은행선화동,cp_bnu_003,제조업,109
2019,25020510,은행선화동,cp_bnu_006,건설업,66
2019,25020510,은행선화동,cp_bnu_007,도매 및 소매업,905
2019,25020510,은행선화동,cp_bnu_008,운수 및 창고업,44
2019,25020510,은행선화동,cp_bnu_009,숙박 및 음식점업,619
2019,25020510,은행선화동,cp_bnu_010,정보통신업,27
2019,25020510,은행선화동,cp_bnu_011,금융 및 보험업,84
2019,25020510,은행선화동,cp_bnu_012,부동산업,125
2019,25020510,은행선화동,cp_bnu_013,"전문, 과학 및 기술 서비스업",148
2019,25020510,은행선화동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",103
2019,25020510,은행선화동,cp_bnu_015,"공공행정, 국방 및 사회보장 행정",10
2019,25020510,은행선화동,cp_bnu_016,교육 서비스업,120
2019,25020510,은행선화동,cp_bnu_017,보건업 및 사회복지 서비스업,94
2019,25020510,은행선화동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",112
2019,25020510,은행선화동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",344
2019,25020530,목동,cp_bnu_003,제조업,13
2019,25020530,목동,cp_bnu_006,건설업,10
2019,25020530,목동,cp_bnu_007,도매 및 소매업,143
2019,25020530,목동,cp_bnu_008,운수 및 창고업,5
2019,25020530,목동,cp_bnu_009,숙박 및 음식점업,126
2019,25020530,목동,cp_bnu_011,금융 및 보험업,5
2019,25020530,목동,cp_bnu_012,부동산업,31
2019,25020530,목동,cp_bnu_013,"전문, 과학 및 기술 서비스업",10
2019,25020530,목동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",5
2019,25020530,목동,cp_bnu_016,교육 서비스업,96
2019,25020530,목동,cp_bnu_017,보건업 및 사회복지 서비스업,35
2019,25020530,목동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",22
2019,25020530,목동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",90
2019,25020540,중촌동,cp_bnu_003,제조업,79
2019,25020540,중촌동,cp_bnu_005,"수도, 하수 및 폐기물처리, 원료 재생업",6
2019,25020540,중촌동,cp_bnu_006,건설업,61
2019,25020540,중촌동,cp_bnu_007,도매 및 소매업,249
2019,25020540,중촌동,cp_bnu_008,운수 및 창고업,20
2019,25020540,중촌동,cp_bnu_009,숙박 및 음식점업,191
2019,25020540,중촌동,cp_bnu_010,정보통신업,6
2019,25020540,중촌동,cp_bnu_012,부동산업,30
2019,25020540,중촌동,cp_bnu_013,"전문, 과학 및 기술 서비스업",19
2019,25020540,중촌동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",34
2019,25020540,중촌동,cp_bnu_016,교육 서비스업,37
2019,25020540,중촌동,cp_bnu_017,보건업 및 사회복지 서비스업,33
2019,25020540,중촌동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",40
2019,25020540,중촌동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",165
2019,25020550,대흥동,cp_bnu_003,제조업,80
2019,25020550,대흥동,cp_bnu_006,건설업,35
2019,25020550,대흥동,cp_bnu_007,도매 및 소매업,561
2019,25020550,대흥동,cp_bnu_008,운수 및 창고업,15
2019,25020550,대흥동,cp_bnu_009,숙박 및 음식점업,629
2019,25020550,대흥동,cp_bnu_010,정보통신업,20
2019,25020550,대흥동,cp_bnu_011,금융 및 보험업,53
2019,25020550,대흥동,cp_bnu_012,부동산업,73
2019,25020550,대흥동,cp_bnu_013,"전문, 과학 및 기술 서비스업",54
2019,25020550,대흥동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",56
2019,25020550,대흥동,cp_bnu_015,"공공행정, 국방 및 사회보장 행정",7
2019,25020550,대흥동,cp_bnu_016,교육 서비스업,91
2019,25020550,대흥동,cp_bnu_017,보건업 및 사회복지 서비스업,94
2019,25020550,대흥동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",98
2019,25020550,대흥동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",231
2019,25020560,문창동,cp_bnu_003,제조업,56
2019,25020560,문창동,cp_bnu_006,건설업,32
2019,25020560,문창동,cp_bnu_007,도매 및 소매업,281
2019,25020560,문창동,cp_bnu_008,운수 및 창고업,15
2019,25020560,문창동,cp_bnu_009,숙박 및 음식점업,173
2019,25020560,문창동,cp_bnu_012,부동산업,9
2019,25020560,문창동,cp_bnu_013,"전문, 과학 및 기술 서비스업",5
2019,25020560,문창동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",12
2019,25020560,문창동,cp_bnu_016,교육 서비스업,6
2019,25020560,문창동,cp_bnu_017,보건업 및 사회복지 서비스업,17
2019,25020560,문창동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",27
2019,25020560,문창동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",116
2019,25020570,석교동,cp_bnu_003,제조업,90
2019,25020570,석교동,cp_bnu_006,건설업,64
2019,25020570,석교동,cp_bnu_007,도매 및 소매업,249
2019,25020570,석교동,cp_bnu_008,운수 및 창고업,6
2019,25020570,석교동,cp_bnu_009,숙박 및 음식점업,109
2019,25020570,석교동,cp_bnu_010,정보통신업,7
2019,25020570,석교동,cp_bnu_011,금융 및 보험업,5
2019,25020570,석교동,cp_bnu_012,부동산업,20
2019,25020570,석교동,cp_bnu_013,"전문, 과학 및 기술 서비스업",12
2019,25020570,석교동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",20
2019,25020570,석교동,cp_bnu_016,교육 서비스업,21
2019,25020570,석교동,cp_bnu_017,보건업 및 사회복지 서비스업,37
2019,25020570,석교동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",25
